battery_consumption_ratio,seed,episodes,observation_days,human_ev_vehicle_count,aev_vehicle_count,all_vehicle_count,base_consumption_wh_per_mile,effective_consumption_wh_per_mile,effective_consumption_kwh_per_km,configured_initial_battery_mean,realized_initial_battery_mean,realized_initial_battery_mean_human_ev,realized_initial_battery_mean_aev,avg_daily_charging_sessions_per_human_ev,avg_daily_charging_sessions_per_aev,avg_daily_charging_sessions_per_vehicle,avg_charging_session_duration_minutes_human_ev,avg_charging_session_duration_minutes_aev,avg_charging_session_duration_minutes_all,avg_wait_steps_waiting_charging_vehicles,avg_wait_minutes_waiting_charging_vehicles,waiting_charging_vehicle_count,mean_completed_orders,mean_service_ratio,mean_final_battery_soc,mean_final_battery_soc_human_ev,mean_final_battery_soc_aev,total_distance_km_human_ev,total_distance_km_aev,mcmf_aev_request_selections,mcmf_aev_charge_selections,mcmf_aev_wait_selections,mcmf_aev_relocate_selections,mcmf_low_soc_aev_charge_selections,mcmf_low_soc_aev_wait_selections,initial_soc_case
1.0,256,1,1.0,100,100,200,230.0,230.0,0.1429153742145868,0.45,0.445652874317349,0.4452900680856394,0.4460156805490589,5.73,0.0,2.865,28.371681415929203,0.0,28.371681415929203,72.61565836298932,145.23131672597864,281.0,4325.0,0.0336856370674413,0.4662902494421769,0.7325522579193319,0.200028240965022,26264.093153471425,8821.203700416952,1527,0,0,53324,0,0,0.45
1.0,512,1,1.0,100,100,200,230.0,230.0,0.1429153742145868,0.45,0.4505651451554806,0.4489495736884639,0.4521807166224972,5.51,0.0,2.755,28.22222222222222,0.0,28.22222222222222,82.21070234113712,164.42140468227424,299.0,4336.0,0.0337713115200984,0.4539897212718607,0.7079363921786775,0.200043050365044,25839.23884905059,9041.75318205587,1491,0,0,53047,0,0,0.45
1.0,1024,1,1.0,100,100,200,230.0,230.0,0.1429153742145868,0.45,0.449609353105836,0.4506884990275522,0.4485302071841199,5.65,0.0,2.825,27.18132854578097,0.0,27.18132854578097,60.688644688644686,121.37728937728936,273.0,4399.0,0.0342619924762253,0.4376743277703165,0.6753233498848185,0.2000253056558146,26476.38425043693,8911.480848941248,1471,0,0,53333,0,0,0.45
1.05,256,1,1.0,100,100,200,230.0,241.5,0.1500611429253161,0.45,0.445652874317349,0.4452900680856394,0.4460156805490589,5.81,0.0,2.905,27.709281961471103,0.0,27.709281961471103,91.43513513513514,182.87027027027028,370.0,3975.0,0.0309596317556253,0.4725252650535104,0.7450241040054826,0.2000264261015384,24263.082456520544,8401.20836391977,1412,0,0,54310,0,0,0.45
1.05,512,1,1.0,100,100,200,230.0,241.5,0.1500611429253161,0.45,0.4505651451554806,0.4489495736884639,0.4521807166224972,5.44,0.0,2.72,29.4803738317757,0.0,29.4803738317757,72.80546075085324,145.61092150170649,293.0,4260.0,0.0331793789381041,0.4405944788445975,0.6811622862374833,0.2000266714517118,26414.206064719154,8611.752891575783,1443,0,0,53893,0,0,0.45
1.05,1024,1,1.0,100,100,200,230.0,241.5,0.1500611429253161,0.45,0.449609353105836,0.4506884990275522,0.4485302071841199,5.64,0.0,2.82,28.92753623188406,0.0,28.92753623188406,75.85448916408669,151.70897832817337,323.0,4287.0,0.0333896707764442,0.4537032484288321,0.7073481972042442,0.2000582996534197,26066.63629562655,8485.99778244118,1427,0,0,54122,0,0,0.45
1.1025,256,1,1.0,100,100,200,230.0,253.575,0.1575642000715819,0.45,0.445652874317349,0.4452900680856394,0.4460156805490589,5.99,0.0,2.995,27.747048903878586,0.0,27.747048903878586,82.91620111731844,165.83240223463687,358.0,4044.0,0.0314970442313833,0.4551872369760261,0.710340756321067,0.2000337176309854,25276.44130941558,8000.913655401403,1332,0,0,55196,0,0,0.45
1.1025,512,1,1.0,100,100,200,230.0,253.575,0.1575642000715819,0.45,0.4505651451554806,0.4489495736884639,0.4521807166224972,5.27,0.0,2.635,28.976744186046513,0.0,28.976744186046513,76.69888475836431,153.39776951672863,269.0,3924.0,0.0305624138387606,0.4425861722501796,0.6851213675772049,0.2000509769231542,23284.67028479293,8200.878850475488,1396,0,0,54688,0,0,0.45
1.1025,1024,1,1.0,100,100,200,230.0,253.575,0.1575642000715819,0.45,0.449609353105836,0.4506884990275522,0.4485302071841199,5.74,0.0,2.87,28.409252669039144,0.0,28.409252669039144,71.61764705882354,143.2352941176471,340.0,4110.0,0.0320110909473257,0.4457848894773828,0.6915322171915009,0.2000375617632647,25386.105463580938,8082.577179354885,1380,0,0,54931,0,0,0.45
1.2,256,1,1.0,100,100,200,230.0,276.0,0.1714984490575041,0.45,0.445652874317349,0.4452900680856394,0.4460156805490589,5.54,0.0,2.77,30.474452554744527,0.0,30.474452554744527,82.85633802816902,165.71267605633804,355.0,3999.0,0.0311465578341498,0.4454607699269246,0.6908753561672414,0.2000461836866076,24523.85152415559,7350.466889629886,1365,0,0,56151,0,0,0.45
1.2,512,1,1.0,100,100,200,230.0,276.0,0.1714984490575041,0.45,0.4505651451554806,0.4489495736884639,0.4521807166224972,5.69,0.0,2.845,30.107526881720432,0.0,30.107526881720432,84.81741573033707,169.63483146067418,356.0,3913.0,0.0304767393861036,0.4478405945895483,0.695645476801553,0.2000357123775438,24791.41201491823,7535.013604246014,1276,0,0,56124,0,0,0.45
1.2,1024,1,1.0,100,100,200,230.0,276.0,0.1714984490575041,0.45,0.449609353105836,0.4506884990275522,0.4485302071841199,5.49,0.0,2.745,30.65677179962894,0.0,30.65677179962894,72.72205438066466,145.44410876132932,331.0,4042.0,0.0314814670581729,0.4379836366115474,0.6759308281308237,0.2000364450922709,24748.625424348396,7425.901153739913,1355,0,0,56048,0,0,0.45
0.8,256,1,1.0,100,100,200,230.0,184.0,0.1143322993716694,0.15,0.1456528743173491,0.1452900680856394,0.1460156805490588,0.87,0.77,0.82,47.07142857142857,101.50649350649353,73.1055900621118,45.82222222222222,91.64444444444445,45.0,2811.0,0.0218937169471855,0.2791291179136622,0.3206085676494174,0.2376496681779069,3553.0324703420815,18460.802211422124,2409,77,19927,11389,77,19927,0.15
0.8,512,1,1.0,100,100,200,230.0,184.0,0.1143322993716694,0.15,0.1505651451554805,0.1489495736884638,0.1521807166224972,1.2,0.59,0.895,38.890756302521005,97.9322033898305,58.46067415730337,37.1764705882353,74.3529411764706,51.0,2476.0,0.0192845404344473,0.2686093058006676,0.3344470391472359,0.2027715724540991,4900.945280050807,14424.486631742802,1939,59,24265,15905,59,24265,0.15
0.8,1024,1,1.0,100,100,200,230.0,184.0,0.1143322993716694,0.15,0.149609353105836,0.1506884990275522,0.1485302071841198,1.27,0.7,0.985,39.376,101.54285714285714,61.69230769230769,47.582089552238806,95.1641791044776,67.0,2749.0,0.0214108245776638,0.294619461463664,0.3464942455749462,0.2427446773523818,5272.076692085305,16279.139490977304,2165,71,20921,14579,71,20921,0.15
0.9025,256,1,1.0,100,100,200,230.0,207.575,0.1289811252286646,0.15,0.1456528743173491,0.1452900680856394,0.1460156805490588,0.95,0.76,0.855,43.04255319148936,102.8157894736842,69.76470588235294,45.666666666666664,91.33333333333331,54.0,2699.0,0.0210213952474044,0.263705143355422,0.3132974835032145,0.2141128032076296,3625.3868706431967,17294.398291337067,2300,76,20423,13063,76,20423,0.15
0.9025,512,1,1.0,100,100,200,230.0,207.575,0.1289811252286646,0.15,0.1505651451554805,0.1489495736884638,0.1521807166224972,1.18,0.56,0.87,38.837606837606835,102.78571428571428,59.53757225433526,46.12244897959184,92.24489795918367,49.0,2406.0,0.0187393393720841,0.2545231942909197,0.3147567284611991,0.1942896601206403,4891.763535588922,13078.010312048891,1848,57,24247,17924,57,24247,0.15
0.9025,1024,1,1.0,100,100,200,230.0,207.575,0.1289811252286646,0.15,0.149609353105836,0.1506884990275522,0.1485302071841198,1.12,0.69,0.905,43.711711711711715,103.04347826086956,66.45555555555555,45.30769230769231,90.6153846153846,65.0,2585.0,0.0201334963744129,0.2883606307861848,0.3610339492740623,0.2156873122983073,3990.679082998667,15509.390340250337,2143,69,20961,16251,69,20961,0.15
0.95,256,1,1.0,100,100,200,230.0,218.5,0.1357696055038574,0.15,0.1456528743173491,0.1452900680856394,0.1460156805490588,0.71,0.76,0.735,51.32394366197183,102.78947368421052,77.93197278911565,35.57446808510638,71.14893617021276,47.0,2694.0,0.0209824523143785,0.2508160129014868,0.3023232984929017,0.199308727310072,2873.481373239372,16999.888527368385,2366,76,19107,14682,76,19107,0.15
0.95,512,1,1.0,100,100,200,230.0,218.5,0.1357696055038574,0.15,0.1505651451554805,0.1489495736884638,0.1521807166224972,1.03,0.58,0.805,48.16,99.48275862068964,67.0,47.729166666666664,95.45833333333331,48.0,2306.0,0.0179604807115652,0.2630039157797017,0.3372347317939819,0.1887730997654215,4606.793325055403,12673.759378553335,1796,58,24656,18736,58,24656,0.15
0.95,1024,1,1.0,100,100,200,230.0,218.5,0.1357696055038574,0.15,0.149609353105836,0.1506884990275522,0.1485302071841198,1.23,0.7,0.965,41.739837398373986,101.6,63.45077720207254,54.096774193548384,108.19354838709675,62.0,2579.0,0.0200867648547818,0.2809700427683489,0.3566286108814459,0.2053114746552518,4577.4202980367145,15141.686302546535,2100,70,21094,16790,70,21094,0.15
1.0,256,1,1.0,100,100,200,230.0,230.0,0.1429153742145868,0.15,0.1456528743173491,0.1452900680856394,0.1460156805490588,0.88,0.75,0.815,43.51724137931034,104.08,71.55555555555556,37.02272727272727,74.04545454545455,44.0,2657.0,0.0206942746099865,0.2482619809334833,0.3013801612275076,0.195143800639459,3104.1760825736296,16287.123130093409,2268,75,19007,16199,75,19007,0.15
1.0,512,1,1.0,100,100,200,230.0,230.0,0.1429153742145868,0.15,0.1505651451554805,0.1489495736884638,0.1521807166224972,1.17,0.58,0.875,40.58620689655172,99.6206896551724,60.264367816091955,40.26,80.52,50.0,2302.0,0.0179293263651445,0.2495833241531622,0.3056046821350828,0.1935619661712417,5139.829936359871,11872.237601802,1723,59,24163,20301,59,24163,0.15
1.0,1024,1,1.0,100,100,200,230.0,230.0,0.1429153742145868,0.15,0.149609353105836,0.1506884990275522,0.1485302071841198,1.34,0.69,1.015,39.54545454545455,103.0144927536232,61.333333333333336,40.40677966101695,80.8135593220339,59.0,2702.0,0.02104476100722,0.2653588922697725,0.3343995115319936,0.1963182730075514,5399.830035139861,14706.085181929871,2111,69,20177,18396,69,20177,0.15
